POSTO,Data,Dia m3/s,NÍVEL RES. (m),VOLUME (%VU) ARM. nan,nan ESP. nan,VAZÃO (m3/s) TUR. nan,nan VER. nan,nan OTR. nan,nan DFL. nan,nan TRA. nan,nan AFL. nan,nan INC. nan,nan Usos Con.,nan EVP. nan,nan ART. nan
1,2020-08-09,44,911.98,89.68,100,45,0,0,45,0,45,44,0.4,0.6,0
2,2020-08-09,44,885.57,89.87,-,59,0,0,59,0,59,0,0.0,0.0,0
211,2020-08-09,104,807.91,54.92,-,133,0,0,133,0,121,60,2.44,0.38,0
6,2020-08-09,241,761.89,55.13,100,557,0,0,557,0,209,137,12.96,16.61,0
7,2020-08-09,279,660.43,49.59,100,852,0,0,852,0,873,38,14.14,2.99,0
8,2020-08-09,289,621.42,72.73,-,450,0,0,450,0,809,9,14.44,0.75,0
9,2020-08-09,294,557.64,71.33,-,507,0,0,507,0,479,4,14.74,0.54,0
10,2020-08-09,306,512.09,72.14,-,508,0,0,508,0,542,10,15.12,0.92,0
11,2020-08-09,331,494.15,46.87,-,620,0,0,620,0,507,23,18.03,3.87,0
12,2020-08-09,381,466.5,57.99,-,600,0,0,600,0,600,48,30.8,2.93,0
14,2020-08-09,19,849.36,68.68,100,34,0,0,34,0,20,19,1.65,0.49,0
15,2020-08-09,31,664.8,95.31,-,43,0,0,43,0,43,12,4.21,0.02,0
16,2020-08-09,31,572.43,89.67,-,40,0,0,40,0,42,0,0.0,0.0,0
17,2020-08-09,583,436.31,34.55,90.99,889,0,0,889,0,831,167,104.47,5.43,0
18,2020-08-09,691,377.83,38.86,100,1069,0,0,1069,0,1034,106,116.43,11.11,0
22,2020-08-09,37,795.72,61.74,-,73,0,0,73,0,79,37,5.58,4.62,0
251,2020-08-09,61,746.5,49.71,-,133,0,0,133,0,39,23,7.62,3.41,0
24,2020-08-09,183,638.65,38.03,100,458,0,0,458,0,294,123,21.41,5.21,0
25,2020-08-09,128,799.02,45.33,100,255,0,0,255,0,123,128,3.6,7.04,0
206,2020-08-09,132,695.24,73.87,-,305,0,0,305,0,293,4,6.27,0.97,0
207,2020-08-09,132,623.78,68.12,-,332,0,0,339,0,326,0,6.91,0.52,0
28,2020-08-09,133,564.99,96.67,-,345,0,0,345,0,345,1,8.38,0.96,0
205,2020-08-09,42,840.31,56.81,-,47,5,0,52,0,33,42,4.19,4.78,0
23,2020-08-09,52,768.65,14.64,-,70,10,0,80,0,80,10,4.83,1.58,0
209,2020-08-09,146,591.85,82.09,-,131,0,0,131,0,131,94,12.84,1.11,0
31,2020-08-09,546,510.61,50.53,100,989,0,0,989,0,976,83,57.33,10.8,0
32,2020-08-09,578,430.73,73.68,-,1482,0,0,1482,0,1266,31,60.65,1.5,0
33,2020-08-09,1021,396.66,54.99,100,2032,0,0,2032,0,1967,442,109.91,12.93,0
247,2020-08-09,67,476.77,87.99,-,68,0,0,68,0,72,67,0.81,0.4,0
248,2020-08-09,70,447.58,78.09,-,64,0,0,64,0,64,3,0.83,0.59,0
261,2020-08-09,75,353.84,91.57,-,75,0,0,75,0,69,5,0.89,0.34,0
294,2020-08-09,88,446.41,90.34,-,89,0,0,89,0,89,88,0.63,1.95,0
241,2020-08-09,98,370.45,94.75,-,96,0,0,96,0,96,7,0.68,0.82,0
99,2020-08-09,50,581.54,63.58,-,64,0,0,64,0,50,50,0.14,0.67,0
34,2020-08-09,2057,326.63,70.91,100,3595,0,0,3595,400,3198,112,233.29,25.98,0
318,2020-08-09,28,725.28,72.82,-,6,0,0,6,0,35,0,0.0,0.0,28
118,2020-08-09,11,743.65,71.73,-,0,0,0,11,0,1,11,7.87,0.71,26
119,2020-08-09,13,0.0,0.0,-,0,0,0,0,0,5,13,0.0,0.0,0
117,2020-08-09,14,733.19,54.34,-,0,0,0,15,0,4,14,10.3,0.19,0
160,2020-08-09,3,768.6,87.5,-,0,0,0,10,0,10,3,3.86,0.01,0
161,2020-08-09,35,711.23,39.25,-,0,64,0,64,0,33,35,0.0,0.0,0
164,2020-08-09,24,711.23,39.22,-,0,64,0,64,0,65,68,0.0,0.01,0
237,2020-08-09,150,450.09,83.65,100,155,0,0,155,0,122,114,53.99,4.54,123
238,2020-08-09,176,427.29,78.27,-,177,0,0,177,0,177,26,63.91,1.08,150
239,2020-08-09,227,403.83,65.55,-,205,0,0,205,0,231,51,71.78,2.1,200
240,2020-08-09,264,381.82,47.52,100,0,160,0,160,0,320,36,76.54,9.91,236
242,2020-08-09,279,357.71,84.74,-,200,0,0,200,0,107,14,82.17,4.32,251
243,2020-08-09,290,326.5,67.95,100,743,0,0,743,-400,343,7,88.31,16.02,264
245,2020-08-09,2597,279.69,88.78,-,4090,0,0,4102,0,4625,246,323.33,6.9,2571
154,2020-08-09,84,344.01,0.98,-,75,5,0,80,0,82,84,0.0,0.34,0
246,2020-08-09,3107,257.09,35.86,-,5050,0,0,5054,0,5292,389,344.66,23.27,3081
47,2020-08-09,71,562.99,35.77,97.88,122,0,0,122,0,54,71,10.14,5.92,0
48,2020-08-09,73,531.47,84.86,-,129,0,0,130,0,132,2,10.41,0.19,0
49,2020-08-09,111,468.77,36.73,98.03,154,0,0,154,0,154,36,13.69,5.28,0
249,2020-08-09,113,398.17,135.23,-,140,0,0,143,0,146,2,13.73,0.06,0
50,2020-08-09,163,384.4,89.7,-,189,0,0,189,0,194,49,17.48,0.17,0
51,2020-08-09,168,366.01,101.05,-,200,0,0,200,0,200,4,17.77,0.33,0
52,2020-08-09,177,350.94,93.72,-,162,48,0,210,0,203,8,18.12,0.4,0
57,2020-08-09,58,629.33,34.0,-,59,0,0,78,0,53,58,1.72,2.28,0
61,2020-08-09,320,327.05,39.52,100,339,0,0,339,0,349,78,27.23,6.57,0
62,2020-08-09,361,283.65,81.35,-,360,0,0,360,0,335,35,28.13,1.04,0
63,2020-08-09,453,257.83,90.97,-,444,0,0,444,0,474,81,30.85,2.72,0
266,2020-08-09,4622,217.59,80.9,-,7258,0,0,7258,0,6839,955,392.01,11.47,4596
74,2020-08-09,156,721.78,41.52,-,9,0,0,9,0,150,156,6.2,1.07,0
